DATE,GACDISA066MSFRBNY
2022-02-01,3.1
2022-03-01,-11.8
2022-04-01,24.6
2022-05-01,-11.6
2022-06-01,-1.2
2022-07-01,11.1
2022-08-01,-31.3
2022-09-01,-1.5
2022-10-01,-9.1
2022-11-01,4.5
2022-12-01,-11.2
2023-01-01,-32.9
2023-02-01,-5.8
2023-03-01,-24.6
2023-04-01,10.8
2023-05-01,-31.8
2023-06-01,6.6
2023-07-01,1.1
2023-08-01,-19.0
2023-09-01,1.9
2023-10-01,-4.6
2023-11-01,9.1
