DATE,PNGASJPUSDM
2016-02-01,7.99
2016-03-01,8.01
2016-04-01,6.68
2016-05-01,6.81
2016-06-01,7.08
2016-07-01,6.85
2016-08-01,7.42
2016-09-01,7.79
2016-10-01,7.93
2016-11-01,7.16
2016-12-01,7.09
2017-01-01,9.17409090909091
2017-02-01,7.128
2017-03-01,5.79478260869565
2017-04-01,5.7095
2017-05-01,5.7190625
2017-06-01,5.52363636363636
2017-07-01,5.63190476190476
2017-08-01,6.13086956521739
2017-09-01,7.08428571428571
2017-10-01,8.79272727272727
2017-11-01,9.57142857142857
2017-12-01,10.7090476190476
2018-01-01,11.6695652173913
2018-02-01,10.471
2018-03-01,8.46090909090909
2018-04-01,7.47523809523809
2018-05-01,8.61260869565217
2018-06-01,10.437619047619
2018-07-01,9.97227272727273
2018-08-01,10.5904347826087
2018-09-01,11.0905
2018-10-01,10.035652173913
2018-11-01,9.77727272727273
2018-12-01,8.95190476190476
2019-01-01,8.28565217391304
2019-02-01,6.501
2019-03-01,5.2452380952381
2019-04-01,5.0797619047619
2019-05-01,5.03326086956522
2019-06-01,4.38925
2019-07-01,4.41934782608696
2019-08-01,4.28022727272727
2019-09-01,5.05452380952381
2019-10-01,6.01739130434783
2019-11-01,5.45642857142857
2019-12-01,5.57340909090909
2020-01-01,4.91369565217391
2020-02-01,2.92025
2020-03-01,3.27886363636364
2020-04-01,2.12636363636364
2020-05-01,2.03214285714286
2020-06-01,2.05045454545455
2020-07-01,2.28695652173913
2020-08-01,3.62571428571429
2020-09-01,4.60977272727273
2020-10-01,6.12181818181818
2020-11-01,6.82214285714286
2020-12-01,11.6089130434783
2021-01-01,20.4152380952381
2021-02-01,7.16875
2021-03-01,6.44347826086957
2021-04-01,7.89413043478261
2021-05-01,10.0145
2021-06-01,12.0172727272727
2021-07-01,14.0968181818182
2021-08-01,16.6438636363636
2021-09-01,24.0629545454545
2021-10-01,35.0652380952381
2021-11-01,31.9635714285714
2021-12-01,37.4197826086957
2022-01-01,26.8283333333333
2022-02-01,27.82325
2022-03-01,38.7358695652174
2022-04-01,29.0147619047619
2022-05-01,21.9377272727273
2022-06-01,29.5381818181818
2022-07-01,41.1695
2022-08-01,54.1575
2022-09-01,44.6822727273
2022-10-01,29.742
2022-11-01,25.2177272727
2022-12-01,30.7171428571
2023-01-01,20.6855263158
2023-02-01,15.9625
2023-03-01,13.3504347826
2023-04-01,12.0110526316
2023-05-01,9.9006818182
2023-06-01,10.10725
2023-07-01,10.8811904762
2023-08-01,11.7529545455
2023-09-01,13.1515
2023-10-01,15.2934090909
